peptide_name,nanopore_name,voltage,peptide_conc,transition_from,transition_to,best_model,bic,r_squared,tau_mean,tau_mean_err,tau_fast,A_fast,tau_fast_err,A_fast_err,tau_middle,A_middle,tau_middle_err,A_middle_err,tau_slow,A_slow,tau_slow_err,A_slow_err
guesthost_Trp,PA,40,53.0,1,3,2-exp,-184.482,0.928427,0.00579207,0.000277257,0.00244753,1.0,0.000984191,0.189541,0.00929051,0.359995,0.00192593,0.175813,0.00929051,0.359995,0.00192593,0.175813
guesthost_Trp,PA,40,53.0,2,0,2-exp,-8595.93,0.989788,0.017135,4.18355e-05,0.0103862,0.845574,2.13664,364280.0,0.0103863,0.804207,2.24057,364280.0,0.0103863,0.804207,2.24057,364280.0
guesthost_Trp,PA,40,53.0,2,1,2-exp,-11793.9,0.990577,0.0169947,4.65587e-05,0.00937723,0.48234,0.00194358,0.512906,0.0124717,1.0,0.000750588,0.522118,0.0124717,1.0,0.000750588,0.522118
guesthost_Trp,PA,40,53.0,2,3,1-exp,-119.466,0.757595,0.00305037,0.000213947,0.00305037,1.1,0.000213947,0.10269,,,,,,,,
guesthost_Phe,PA,50,19.0,0,1,3-exp,-2213.22,0.972684,0.0774506,0.00123803,0.00733269,0.47035,0.000880189,0.0302791,0.0582814,0.592431,0.00175966,0.0195953,1.0,0.0394739,0.0243655,0.00197259
guesthost_Phe,PA,50,19.0,0,2,2-exp,-380.095,0.966106,0.103838,0.00430805,0.0367799,0.925679,0.00169131,0.028761,1.0,0.0697919,0.0604644,0.00634444,1.0,0.0697919,0.0604644,0.00634444
guesthost_Phe,PA,50,19.0,0,3,2-exp,-143.449,0.966751,0.0718919,0.438204,0.0473546,0.984039,0.0109918,0.101447,1.0,0.0252932,22.048,0.134513,1.0,0.0252932,22.048,0.134513
guesthost_Phe,PA,50,19.0,1,0,3-exp,-2095.27,0.984204,0.0130138,0.0312713,0.00238741,0.897237,0.000215379,0.0652977,0.017495,0.527167,0.000624139,0.015835,1.0,0.00164895,21.263,0.00399869
guesthost_Phe,PA,50,19.0,1,2,3-exp,-8581.73,0.993289,0.0116677,2.44534e-05,0.00787129,1.0,0.000294812,0.0744869,0.0169059,0.146337,0.00457942,0.0639182,0.0417635,0.0316659,0.00572516,0.0163628
guesthost_Phe,PA,50,19.0,1,3,2-exp,-842.411,0.994005,0.0278332,0.00016574,0.00507429,0.241702,0.00118292,0.0283735,0.0347098,0.766547,0.000354091,0.0145109,0.0347098,0.766547,0.000354091,0.0145109
