Time,Current,State
26.385,1.0,1
26.386,1.0,1
26.387,1.0,1
26.388,1.0,1
26.389,1.0,1
26.39,1.0,1
26.391000000000002,0.0,0
26.392,1.0,1
26.393,0.0,0
26.394000000000002,0.0,0
26.395,1.0,1
26.396,1.0,1
26.397000000000002,1.0,1
26.398,1.0,1
26.399,0.0,0
26.400000000000002,0.0,0
26.401,1.0,1
26.402,1.0,1
26.403000000000002,1.0,1
26.404,1.0,1
26.405,0.0,0
26.406,2.0,2
26.407,1.0,1
26.408,0.0,0
26.409,1.0,1
26.41,1.0,1
26.411,0.0,0
26.412,1.0,1
26.413,0.0,0
26.414,1.0,1
26.415,0.0,0
26.416,1.0,1
26.417,1.0,1
26.418,0.0,0
26.419,1.0,1
26.42,0.0,0
26.421,1.0,1
26.422,1.0,1
26.423000000000002,0.0,0
26.424,1.0,1
26.425,1.0,1
26.426000000000002,1.0,1
26.427,1.0,1
26.428,0.0,0
26.429000000000002,1.0,1
26.43,1.0,1
26.431,1.0,1
26.432000000000002,1.0,1
26.433,1.0,1
26.434,1.0,1
26.435000000000002,1.0,1
26.436,0.0,0
26.437,0.0,0
26.438,0.0,0
26.439,0.0,0
26.44,2.0,2
26.441,2.0,2
26.442,2.0,2
26.443,0.0,0
26.444,1.0,1
26.445,0.0,0
26.446,1.0,1
26.447,1.0,1
26.448,0.0,0
26.449,1.0,1
26.45,1.0,1
26.451,0.0,0
26.452,1.0,1
26.453,1.0,1
26.454,1.0,1
26.455000000000002,1.0,1
26.456,1.0,1
26.457,1.0,1
26.458000000000002,0.0,0
26.459,1.0,1
26.46,1.0,1
26.461000000000002,0.0,0
26.462,1.0,1
26.463,0.0,0
26.464000000000002,1.0,1
26.465,0.0,0
26.466,1.0,1
26.467000000000002,1.0,1
26.468,1.0,1
26.469,1.0,1
26.47,1.0,1
26.471,1.0,1
26.472,1.0,1
26.473,1.0,1
26.474,0.0,0
26.475,0.0,0
26.476,0.0,0
26.477,1.0,1
26.478,1.0,1
26.479,1.0,1
26.48,1.0,1
26.481,0.0,0
26.482,2.0,2
26.483,2.0,2
26.484,2.0,2
26.485,2.0,2
26.486,2.0,2
26.487000000000002,1.0,1
26.488,1.0,1
